set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_1_conditional,keyword_2,keyword_2_conditional,keyword_3,keyword_3_conditional,Makes_Droids,Makes_Clones,Makes_Ties,Heals,Ramps,Makes_X_Wings,Indirect,Makes Force,Readies,Bounce,Cannot_Attack,Makes_Spies,Disclose_Symbols,Cheat_Action,Exhaust,Capture,Multideploy
SOR,001,Director Krennic,Aspiring to Authority,True,Leader,"Vigilance,Villainy",5,"Imperial,Official","{p}Each friendly damaged unit gets {powerplus:1}/{hp:0}.{/p}

{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}{restore:2} {em}(When this unit attacks, heal 2 damage from your base.){/em}{/p}{p}Each friendly damaged unit gets {power:1}/{power:0}.{/p}",0,2,7,1,Ario Murti,2023-07-07,FFG,https://twitter.com/UnlimitedFFG/status/1677331851038322690,6,1,0,0,0,Restore,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,002,Iden Versio,Inferno Squad Commander,True,Leader,"Vigilance,Villainy",6,"Imperial,Trooper","{p}{b}Action [{T}]:{/b} If an enemy unit was defeated this phase, heal 1 damage from your base.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader.{/p}","{p}{shielded} {i}(When you deploy this leader, give her a Shield token.){/i}{/p}

{p}{b}When an enemy unit is defeated:{/b} Heal 1 damage from your base.{/p}",0,4,4,3,Axel Hutt,2023-12-08,FFG,https://twitter.com/UnlimitedFFG/status/1733154603754029486,174,0,0,0,0,Shielded,False,NULL,NULL,NULL,NULL,,,,1,,,,,,,,,,,,,
SOR,003,Chewbacca,Walking Carpet,True,Leader,"Vigilance,Heroism",7,"Underworld,Wookiee","{p}{b}Action [{T}]:{/b} Play a unit that costs 3 or less from your hand (paying its cost). It gains {sentinel} for this phase.{/p}

{p-epic-action}If you control 7 or more resources, deploy this leader.{/p}","{p-keyword-border-shaded}{sentinel} {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}

{p}{keyword}Grit{/keyword} {i}(This unit gets +1/+0 for each damage on it.){/i}{/p}",0,2,9,1,Eslam AboShady,2023-08-03,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,59,0,0,0,0,Grit,False,Sentinel,False,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,004,Chirrut Îmwe,One With The Force,True,Leader,"Vigilance,Heroism",5,"Force,Rebel","{p}{strong}Action [{T}]:{/strong} Give a unit {powerplus:0}/{hpplus:2} for this phase.{/p}

{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}During the action phase, this unit isn't defeated by having no remaining HP. {i}(During the regroup phase, if he has no remaining HP, defeat him.){/i}{/p}",0,3,5,3,Sandra Chlewińska,2024-01-19,FFG,https://www.instagram.com/p/C2SatU2MY12/,234,0,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,005,Luke Skywalker,Faithful Friend,True,Leader,"Vigilance,Heroism",6,"Force,Rebel","{p}{strong}Action [{R1}, {T}]:{/strong} Give a Shield token to a {Heroism} unit you played this phase.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader. {em}(Flip him, ready him, and move him to the ground arena.){/em}{/p}",{strong}On Attack:{/strong} You may give another unit a Shield token.,0,4,7,5,Borja Pindado,2023-05-16,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,10,0,0,0,0,Shielded,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,006,Emperor Palpatine,Galactic Ruler,True,Leader,"Command,Villainy",8,"Force,Imperial,Sith,Official","{p}{strong}Action [{R1}, {T}, defeat a friendly unit]:{/strong} Deal 1 damage to a unit and draw a card.{/p}

{p-epic-action}If you control 8 or more resources, deploy this leader.{/p}","{p}{b}When Deployed:{/b} Take control of a damaged non-leader unit.{/p}

{p}{b}On Attack:{/b} You may defeat another friendly unit. If you do, deal 1 damage to a unit and draw a card.{/p}",0,4,10,3,Borja Pindado,2024-02-02,FFG,https://www.instagram.com/p/C22d1aVM6zd/,247,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,1,,,,,,,
SOR,007,Grand Moff Tarkin,Oversector Governor,True,Leader,"Command,Villainy",5,"Imperial,Official","{p}{b}Action [{R1}, {T}]:{/b} Give an Experience token to an {imperial} unit.{/p}

{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}",{p}{b}On Attack:{/b} You may give an Experience token to another {imperial} unit.,0,2,7,1,Tomas Oleksak,2023-09-01,FFG,https://www.instagram.com/reel/Cwp0j43szL2/,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,008,Hera Syndulla,Spectre Two,True,Leader,"Command,Heroism",6,"Rebel,Twi'lek,Spectre","{p}Ignore the aspect penalty on {spectre} cards you play.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader.{/p}","{p}Ignore the aspect penalty on {spectre} cards you play.{/p}

{p}{b}On Attack:{/b} You may give an Experience token to another unique unit.{/p}",0,4,6,3,Sandra Chlewińska,2023-10-27,FFG,https://www.instagram.com/p/Cy6BEEzM009/,135,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,009,Leia Organa,Alliance General,True,Leader,"Command,Heroism",5,"Rebel,Official","{p}{strong}Action [{T}]:{/strong} Attack with a {rebel} unit. Then, you may attack with another {rebel} unit.{/p}{p-epic-action}If you control 5 or more resources, deploy this leader.",{p}{raid:1} {em}(This unit gets +1/+0 while attacking.){/em}{/p}{p}{strong}When this unit completes an attack:{/strong} You may attack with another {rebel} unit.{/p},0,3,6,1,Sandra Chlewińska,2023-06-09,FFG,https://twitter.com/UnlimitedFFG/status/1667184970727583744,11,0,0,0,0,Raid,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,1,,,
SOR,010,Darth Vader,Dark Lord of the Sith,True,Leader,"Aggression,Villainy",7,"Force,Imperial,Sith","{p}{strong}Action [1{R}, {T}]:{/strong} If you played a {Villainy} card this phase, deal 1 damage to a unit and 1 damage to a base.{/p}

{p-epic-action}If you control 7 or more resources, deploy this leader. {em}(Flip him, ready him, and move him to the ground arena.){/em}{/p}",{strong}On Attack:{/strong} You may deal 2 damage to a unit.,0,5,8,5,Borja Pindado,2023-05-16,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,12,0,0,2,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,011,Grand Inquisitor,Hunting the Jedi,True,Leader,"Aggression,Villainy",6,"Force,Imperial,Inquisitor","{p}{b}Action [{T}]:{/b} Deal 2 damage to a friendly unit with 3 or less power and ready it.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader.{/p}",{p}{b}On Attack:{/b} You may deal 1 damage to another friendly unit with 3 or less power and ready it.,0,3,6,3,Borja Pindado,2023-09-29,FFG,https://twitter.com/UnlimitedFFG/status/1707772416716419580,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,1,,,,,,,,
SOR,012,IG-88,Ruthless Bounty Hunter,True,Leader,"Aggression,Villainy",5,"Underworld,Droid,Bounty Hunter","{p}{b}Action [{T}]:{/b} Attack with a unit. If you control more units than the defending player, the attacker gets {powerplus:1}/{hpplus:0} for this attack.{/p}

{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}",{p}Each other friendly unit gains {raid:1}. {i}(They get +1/+0 while attacking.){/i}{p},0,5,4,1,Hoan Nguyen,2024-01-05,FFG,https://twitter.com/UnlimitedFFG/status/1743301422102229280,112,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,013,Cassian Andor,Dedicated to the Rebellion,True,Leader,"Aggression,Heroism",6,Rebel,"{p}{strong}Action [{R1}, {T}]:{/strong} If you've dealt 3 or more damage to an enemy base this phase, draw a card.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader.{/p}","{p}{saboteur}{/p}

{p}{b}When you deal damage to an enemy base:{/b} You may draw a card. Use this ability only once each round.{/p}",0,4,6,3,Mickael Balloul,2023-12-22,FFG,https://www.instagram.com/p/C1KUe03MbJt/,192,0,0,0,1,Saboteur,False,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,014,Sabine Wren,Galvanized Revolutionary,True,Leader,"Aggression,Heroism",4,"Mandalorian,Rebel,Spectre","{p}{b}Action [{T}]:{/b} Deal 1 damage to each base.{/p}

{p-epic-action}If you control 4 or more resources, deploy this leader.{/p}",{p}{b}On Attack:{/b} Deal 1 damage to each enemy base.{/p},0,2,5,1,Eslam AboShady,2023-09-15,FFG,https://www.instagram.com/p/CxN3s5_sJzH/,NULL,NULL,NULL,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,-0.5,,,,,,,,,,,,,
SOR,015,Boba Fett,Collecting the Bounty,True,Leader,"Cunning,Villainy",5,"Underworld,Bounty Hunter","{p}{b}When an enemy unit leaves play:{/b} You may exhaust this leader. If you do, ready a resource.{/p}{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}{b}When this unit completes an attack:{/b} If an enemy unit left play this phase, ready up to 2 resources.{/p}",0,4,7,1,French Carlomagno,2023-08-18,FFG,https://www.instagram.com/p/CwFxcoOtMnm/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,0.25,,,,,,,,,,,,
SOR,016,Grand Admiral Thrawn,Patient and Insightful,True,Leader,"Cunning,Villainy",6,"Imperial,Official","{p}{b}When the action phase starts:{/b} Look at the top card of each player's deck.{/p}

{p}{b}Action [{R1}, {T}]:{/b} Reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.{/p}

{p-epic-action} If you control 6 or more resources, deploy this leader.{/p}","{p}{b}When the action phase starts:{/b} Look at the top card of each player's deck.{/p}

{p}{b}On Attack:{/b} You may reveal the top card of any player's deck. Exhaust a unit that costs the same as or less than the revealed card.{/p}",0,3,9,3,Ivan Dedov,2023-11-10,FFG,https://www.instagram.com/p/CzeLE_eMZz6/,150,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,0.5,,
SOR,017,Han Solo,Audacious Smuggler,True,Leader,"Cunning,Heroism",6,Underworld,"{p}{b}Action [{T}]:{/b} Put a card from your hand into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader.{/p}","{p}{b}On Attack:{/b} Put the top card of your deck into play as a resource and ready it. At the start of the next action phase, defeat a resource you control.{/p}",0,4,6,3,David Nash,2023-10-13,FFG,https://twitter.com/UnlimitedFFG/status/1712848845753770367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,1,,,,,,,,,,,,
SOR,018,Jyn Erso,Resisting Oppression,True,Leader,"Cunning,Heroism",6,Rebel,"{p}{b}Action [{T}]:{/b} Attack with a unit. The defender gets -1/-0 for this attack.{/p}

{p-epic-action} If you control 6 or more resources, deploy this leader.{/p}","{p}When a friendly unit is attacking, the defender gets -1/-0.{/p}",0,4,7,1,Axel Hutt,2023-11-24,FFG,https://www.instagram.com/p/C0COM8hs2HS/,160,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,019,Security Complex,NULL,False,Base,Vigilance,NULL,Scarif,{p}{b}Epic Action:{/b} Give a Shield token to a non-leader unit.{/p},NULL,NULL,NULL,25,3,Tyler Edlin,2023-08-15,FFG,https://www.instagram.com/p/Cv-DDcqtgAz/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,020,Capital City,NULL,False,Base,Vigilance,NULL,Lothal,NULL,NULL,NULL,NULL,30,1,Sebastián Guidobono,2024-01-04,FFG Stream,https://www.youtube.com/watch?v=F0E7swqf6Wk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,021,Dagobah Swamp,NULL,False,Base,Vigilance,NULL,Dagobah,NULL,NULL,NULL,NULL,30,1,Tyler Edlin,2023-06-27,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
SOR,022,Energy Conversion Lab,NULL,False,Base,Command,NULL,Eadu,{p}{b}Epic Action:{/b} Play a unit that costs 6 or less from your hand. Give it {ambush} for this phase.,NULL,NULL,NULL,25,3,Adrien Girod,2023-09-12,FFG,https://www.instagram.com/reel/CxGJTR7Nhy1/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,
