set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,back side ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_1_conditional,keyword_2,keyword_2_conditional,keyword_3,keyword_3_conditional
TWI,1,Nala Se,Clone Engineer,TRUE,Leader,"Vigilance,Villainy",4,Kaminoan,"Ignore the aspect penalty on Clone units you play.

Epic Action: If you control 4 or more resources, deploy this leader.","Ignore the aspect penalty on Clone units you play.

Each friendly Clone unit gains: ""When Defeated: Heal 2 damage from your base.""",0,1,7,3,Marc Escachx,10/17/2024,FFG,https://x.com/UnlimitedFFG/status/1846929368284581919,710,0,0,0,0,,,,,,
TWI,2,Nute Gunray,Vindictive Viceroy,TRUE,Leader,"Vigilance,Villainy",6,"Separatist,Official","Action [{T}]: If 2 or more friendly units were defeated this phase, create a Battle Droid token.

Epic Action: If you control 6 or more resources, deploy this leader.",On Attack: Create a Battle Droid token.,0,2,8,1,Aitor Prieto,9/26/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DAYnsjOy_ii/,629,0,0,0,0,,,,,,
TWI,3,Obi-Wan Kenobi,Patient Mentor,TRUE,Leader,"Vigilance,Heroism",6,"Force,Jedi,Republic","Action [{T}]: Heal 1 damage from a unit.

Epic Action: If you control 6 or more resources, deploy this leader.","Sentinel

On Attack: Heal 1 damage from a unit. If you do, deal 1 damage to a different unit.",0,4,7,1,David Buisan,9/3/2024,FFG,https://www.instagram.com/unlimitedffg/reel/C_dZHTdMr1X/,545,0,0,0,0,Sentinel,FALSE,,,,
TWI,4,Yoda,Sensing Darkness,TRUE,Leader,"Vigilance,Heroism",7,"Force,Jedi,Republic","Action [{T}]: If a unit left play this phase, draw a card, then put a card from your hand on the top or bottom of your deck.

Epic Action: If you control 7 or more resources, deploy this leader.","Restore 2

When Deployed: You may discard a card from your deck. If you do, defeat an enemy non-leader unit that costs the same as or less than the discarded card.",0,4,9,3,Sandra Chlewińska,10/8/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DA3hEQcIeqX/,663,0,0,0,0,Restore,FALSE,,,,
TWI,5,Count Dooku,Face of the Confederacy,TRUE,Leader,"Command,Villainy",7,"Force,Separatist,Sith","Action [{T}]: Play a Separatist card from your hand. It gains Exploit 1.

Epic Action: If you control 7 or more resources, deploy this leader.","Overwhelm

On Attack: The next Separatist card you play this phase gains Exploit 3.",0,5,9,1,Eric Hibbeler,9/12/2024,FFG,https://www.instagram.com/unlimitedffg/reel/C_0kTPUIlz_/,597,0,0,0,0,Overwhelm,FALSE,,,,
TWI,6,Wat Tambor,Techno Union Foreman,TRUE,Leader,"Command,Villainy",5,"Separatist,Official","Action [{T}]: If a friendly unit was defeated this phase, give a unit +2/+2 for this phase.

Epic Action: If you control 5 or more resources, deploy this leader.","On Attack: If a friendly unit was defeated this phase, you may give another unit +2/+2 for this phase.",0,3,6,3,Aitor Prieto,10/3/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DAqmaKzRCS2/,653,0,0,0,0,,,,,,
TWI,7,Captain Rex,Fighting for his Brothers,TRUE,Leader,"Command,Heroism",5,"Republic,Clone,Trooper","Action [{R2}, {T}]: If a friendly unit attacked this phase, create a Clone Trooper token.

Epic Action: If you control 5 or more resources, deploy this leader.","When Deployed: Create a Clone Trooper token.

Each other friendly Trooper unit gets +0/+1.",0,2,6,3,Eric Hibbeler,9/24/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DATd5m5y5lH/,625,0,0,0,0,,,,,,
TWI,8,Padmé Amidala,Serving the Republic,TRUE,Leader,"Command,Heroism",5,"Naboo,Republic,Official","Coordinate - Action [{R1}, {T}]: Search the top 3 cards of your deck for a Republic card, reveal it, and draw it.

Epic Action: If you control 5 or more resources, deploy this leader.","Restore 1

Coordinate - On Attack: Search the top 3 cards of your deck for a Republic card, reveal it, and draw it.",0,2,7,1,Maxine Vee,9/10/2024,FFG,https://www.instagram.com/unlimitedffg/reel/C_vatePO_1_/,577,0,0,0,0,Restore,FALSE,,,,
TWI,9,Maul,A Rival in Darkness,TRUE,Leader,"Aggression,Villainy",6,"Force,Underworld",Action [{T}]: Attack with a unit. It gains Overwhelm for this attack.,"Overwhelm

Each other friendly unit gains Overwhelm.",0,6,6,1,Omercan Cirit,9/5/2024,FFG,https://www.instagram.com/unlimitedffg/reel/C_iiwEcvzy6/,565,0,0,0,0,Overwhelm,FALSE,,,,
TWI,10,Pre Vizsla,Pursuing the Throne,TRUE,Leader,"Aggression,Villainy",5,"Mandalorian,Trooper","Action [{R1}, {T}]: Deal damage to a unit equal to the number of cards you've drawn this phase.

Epic Action: If you control 5 or more resources, deploy this leader.","While you have 3 or more cards in your hand, this unit gains Saboteur.

While you have 6 or more cards in your hand, this unit gets +2/+0.",0,4,6,3,Amélie Hutt,10/10/2024,FFG,https://www.instagram.com/unlimitedffg/reel/DA8qkBbMJnJ/,684,0,0,0,0,Saboteur,TRUE,,,,
