set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_1_conditional,keyword_2,keyword_2_conditional,keyword_3,keyword_3_conditional,Smuggle Cost
SOR,1,Director Krennic,Aspiring to Authority,TRUE,Leader,"Vigilance,Villainy",5,"Imperial,Official","Each friendly damaged unit gets +1/+0.

Epic Action: If you control 5 or more resources, deploy this leader.","Restore 2

Each friendly damaged unit gets +1/+0.",0,2,7,1,Ario Murti,7/7/2023,FFG,https://twitter.com/UnlimitedFFG/status/1677331851038322690,6,0,0,0,0,Restore,FALSE,,,,,
SOR,2,Iden Versio,Inferno Squad Commander,TRUE,Leader,"Vigilance,Villainy",6,"Imperial,Trooper","Action [{T}]: If an enemy unit was defeated this phase, heal 1 damage from your base.

Epic Action: If you control 6 or more resources, deploy this leader.","Shielded

When an enemy unit is defeated: Heal 1 damage from your base.",0,4,4,3,Amélie Hutt,12/8/2023,FFG,https://twitter.com/UnlimitedFFG/status/1733154603754029486,174,0,0,0,0,Shielded,FALSE,,,,,
SOR,3,Chewbacca,Walking Carpet,TRUE,Leader,"Vigilance,Heroism",7,"Underworld,Wookiee","Action {T}: Play a unit that costs 3 or less from your hand. It gains Sentinel for this phase.

Epic Action: If you control 7 or more resources, deploy this leader.","Sentinel

Grit",0,2,9,1,Eslam Aboshady,8/3/2023,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,59,0,0,0,0,Grit,FALSE,Sentinel,FALSE,,,
SOR,4,Chirrut Îmwe,One With The Force,TRUE,Leader,"Vigilance,Heroism",5,"Force,Rebel","Action [{T}]: Give a unit +0/+2 for this phase.

Epic Action: If you control 5 or more resources, deploy this leader.","During the action phase, this unit isn't defeated by having no remaining HP.",0,3,5,3,Sandra Chlewińska,1/19/2024,FFG,https://www.instagram.com/p/C2SatU2MY12/,234,0,0,0,0,,,,,,,
SOR,5,Luke Skywalker,Faithful Friend,TRUE,Leader,"Vigilance,Heroism",6,"Force,Rebel","Action [{R1}, {T}]: Give a Shield token to a {Heroism} unit you played this phase.

Epic Action: If you control 6 or more resources, deploy this leader.",On Attack: You may give another unit a Shield token.,0,4,7,0,Borja Pindado,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,10,0,0,0,0,,,,,,,
SOR,6,Emperor Palpatine,Galactic Ruler,TRUE,Leader,"Command,Villainy",8,"Force,Imperial,Sith,Official","Action [{R1}, {T}, defeat a friendly unit]: Deal 1 damage to a unit and draw a card.

Epic Action: If you control 8 or more resources, deploy this leader.","When Deployed: Take control of a damaged non-leader unit.

On Attack: You may defeat another friendly unit. If you do, deal 1 damage to a unit and draw a card.",0,4,10,3,Borja Pindado,2/2/2024,FFG,https://www.instagram.com/p/C22d1aVM6zd/,247,0,0,0,0,,,,,,,
SOR,7,Grand Moff Tarkin,Oversector Governor,TRUE,Leader,"Command,Villainy",5,"Imperial,Official","Action [{R1}, {T}]: Give an Experience token to an Imperial unit.

Epic Action: If you control 5 or more resources, deploy this leader.",On Attack: You may give an Experience token to another Imperial unit.,0,2,7,1,Tomas Oleksak,9/1/2023,FFG,https://www.instagram.com/reel/Cwp0j43szL2/,,,,,,,,,,,,
SOR,8,Hera Syndulla,Spectre Two,TRUE,Leader,"Command,Heroism",6,"Rebel,Twi'lek,Spectre",Ignore the aspect penalty on Spectre cards you play.,"Ignore the aspect penalty on Spectre cards you play.

On Attack: You may give an Experience token to another unique unit.",0,4,6,3,Sandra Chlewińska,10/27/2023,FFG,https://www.instagram.com/p/Cy6BEEzM009/,135,0,0,0,0,,,,,,,
SOR,9,Leia Organa,Alliance General,TRUE,Leader,"Command,Heroism",5,"Rebel,Official","Action [{T}]: Attack with a REBEL unit. Then, you may attack with another REBEL unit.

Epic Action: If you control 5 or more resources, deploy this leader.","Raid 1

When this unit completes an attack: You may attack with another REBEL unit.",0,3,6,1,Sandra Chlewińska,6/9/2023,FFG,https://twitter.com/UnlimitedFFG/status/1667184970727583744,11,0,0,0,0,Raid,FALSE,,,,,
SOR,10,Darth Vader,Dark Lord of the Sith,TRUE,Leader,"Aggression,Villainy",7,"Force,Imperial,Sith","Action [1{R}, {T}]: If you played a {Villainy} card this phase, deal 1 damage to a unit and 1 damage to a base.

Epic Action: If you control 7 or more resources, deploy this leader.",On Attack: You may deal 2 damage to a unit.,0,5,8,0,Borja Pindado,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,12,0,0,0,0,,,,,,,
