"set","number","name","title","unique","case","aspects","cost","traits","abilitytext","Leader Unit Ability Text","arena","power","hp"
"SOR","001","Director Krennic","Aspiring to Authority",True,"Leader","Vigilance,Villainy",5,"Imperial,Official","{p}Each friendly damaged unit gets {power:1}/{hp:0}.{/p}{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}{restore:2} {em}(When this unit attacks, heal 2 damage from your base.){/em}{/p}{p}Each friendly damaged unit gets {power:1}/{power:0}.{/p}",0,2,7
"SOR","003","Chewbacca","Walking Carpet",True,"Leader","Vigilance,Heroism",7,"Underworld,Wookie","{p}{b}Action {T}:{/b} Play a unit that costs 3 or less from your hand (paying its cost). It gains {sentinel} for this phase.{/p}

{p-epic-action}If you control 7 or more resources, deploy this leader.{/p}","{p-keyword-border-shaded}{sentinel} {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}

{p}{keyword}Grit{/keyword} {i}(This unit gets +1/+0 for each damage on it.){/i}{/p}",0,2,9
"SOR","005","Luke Skywalker","Faithful Friend",True,"Leader","Vigilance,Heroism",6,"Force,Rebel","{p}{strong}Action [{R1}, {T}]:{/strong} Give a Shield token to a {Heroism} unit you played this phase.{/p}{p-epic-action}If you control 6 or more resources, deploy this leader. {em}(Flip him, ready him, and move him to the ground arena.){/em}{/p}","{strong}On Attack:{/strong} You may give another unit a Shield token.",0,4,7
"SOR","007","Grand Moff Tarkin","Oversector Governor",True,"Leader","Command,Villainy",5,"Imperial,Official","{p}{b}Action [{R1}, {T}]:{/b} Give an Experience token to an {imperial} unit.{/p}

{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}{b}On Attack:{/b} You may give an Experience token to another {imperial} unit.",0,2,7
"SOR","009","Leia Organa","Alliance General",True,"Leader","Command,Heroism",5,"Rebel,Official","{p}{strong}Action [{T}]:{/strong} Attack with a {rebel} unit. Then, you may attack with another {rebel} unit.{/p}{p-epic-action}If you control 5 or more resources, deploy this leader.","{p}{raid:1} {em}(This unit gets +1/+0 while attacking.){/em}{/p}{p}{strong}When this unit completes an attack:{/strong} You may attack with another {rebel} unit.{/p}",0,3,6
"SOR","010","Darth Vader","Dark Lord of the Sith",True,"Leader","Aggression,Villainy",7,"Force,Imperial,Sith","{p}{strong}Action [1{R}, {T}]:{/strong} If you played a {Villainy} card this phase, deal 1 damage to a unit and 1 damage to a base.{/p}

{p-epic-action}If you control 7 or more resources, deploy this leader. {em}(Flip him, ready him, and move him to the ground arena.){/em}{/p}","{strong}On Attack:{/strong} You may deal 2 damage to a unit.",0,5,8
"SOR","015","Boba Fett","Collecting the Bounty",True,"Leader","Cunning,Villainy",5,"Underworld,Bounty Hunter","{p}{b}When an enemy unit leaves play:{/b} You may exhaust this leader. If you do, ready a resource.{/p}{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}{b}When this unit completes an attack:{/b} If an enemy unit left play this phase, ready up to 2 resources.{/p}",0,4,7
"SOR","019","Security Complex",NULL,False,"Base","Vigilance",NULL,"Scarif","{p}{b}Epic Action:{/b} Give a Shield token to a non-leader unit.{/p}",NULL,NULL,NULL,25
"SOR","021","Dagobah Swamp",NULL,False,"Base","Vigilance",NULL,"Dagobah",NULL,NULL,NULL,NULL,30
"SOR","022","Energy Conversion Lab",NULL,False,"Base","Command",NULL,"Eadu","{p}{b}Epic Action:{/b} Play a unit that costs 6 or less from your hand. Give it {ambush} for this phase.",NULL,NULL,NULL,25
