set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_2,keyword_3
SOR,21,Dagobah Swamp,,FALSE,Base,Vigilance,,Dagobah,,,,,30,1,Tyler Edlin,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,23,Command Center,,FALSE,Base,Command,,Death Star,,,,,30,1,Stephen Zavala,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,26,Catacombs of Cadera,,FALSE,Base,Aggression,,Jedha,,,,,30,1,Tyler Edlin,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,29,Administrator's Tower,,FALSE,Base,Cunning,,Cloud City,,,,,30,1,Tyler Edlin,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,1,Director Krennic,Aspiring to Authority,TRUE,Leader,"Vigilance,Villainy",5,"Imperial,Official","Each friendly damaged unit gets +1/+0.

Epic Action: If you control 5 or more resources, deploy this leader.","Restore 2 (When this unit attacks, heal 2 damage from your base.)

Each friendly damaged unit gets +1/+0.",0,2,7,1,Ario Murti,7/7/2023,FFG,https://twitter.com/UnlimitedFFG/status/1677331851038322690,,,,,,,,
SOR,5,Luke Skywalker,Faithful Friend,TRUE,Leader,"Vigilance,Heroism",6,"Force,Rebel","Action [{R1}, {T}]: Give a Shield token to a {Heroism} unit you played this phase.

Epic Action: If you control 6 or more resources, deploy this leader.",On Attack: You may give another unit a Shield token.,0,4,7,0,Borja Pindado,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,,,,,,,,
SOR,9,Leia Organa,Alliance General,TRUE,Leader,"Command,Heroism",5,"Rebel,Official","Action [{T}]: Attack with a REBEL unit. Then, you may attack with another REBEL unit.

Epic Action: If you control 5 or more resources, deploy this leader.","Raid 1

When this unit completes an attack: You may attack with another REBEL unit.",0,3,6,1,Sandra Chlewi?ska,6/9/2023,FFG,https://twitter.com/UnlimitedFFG/status/1667184970727583744,,,,,,,,
SOR,10,Darth Vader,Dark Lord of the Sith,TRUE,Leader,"Aggression,Villainy",7,"Force,Imperial,Sith","Action [1{R}, {T}]: If you played a {Villainy} card this phase, deal 1 damage to a unit and 1 damage to a base.

Epic Action: If you control 7 or more resources, deploy this leader. (Flip him, ready him, and move him to the ground arena.)",On Attack: You may deal 2 damage to a unit.,0,5,8,0,Borja Pindado,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,,,,,,,,
SOR,44,Restored ARC-170,,FALSE,Unit,"Vigilance,Heroism",2,"Rebel,Vehicle,Fighter",Restore 1,,1,2,3,1,Arthur Mougne,7/3/2023,I Rebel,https://www.youtube.com/watch?v=Q_n9IbiXe6c,13,0,0,0,0,Restore 1,,
SOR,45,Yoda,Old Master,TRUE,Unit,"Vigilance,Heroism",3,"Force,Jedi","Restore 2

When Defeated: Choose any number of players. They each draw a card.",,0,2,4,2,Alexandria Huntington,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,19,0,0,0,1,Restore 2,,
SOR,46,Consular Security Force,,FALSE,Unit,"Vigilance,Heroism",4,"Rebel,Trooper",,,0,3,7,1,Rebecca Farrow,6/27/2023,Quickstart Rules,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,63,Cloud City Wing Guard,,FALSE,Unit,Vigilance,3,"Fringe,Trooper",Sentinel,,0,2,4,1,Tomas Oleksak,6/23/2023,Wossy Plays,https://www.youtube.com/watch?v=ZDKza3yNX9w,21,0,0,0,0,Sentinel,,
SOR,74,Repair,,FALSE,Event,Vigilance,1,Supply,Heal 3 damage from a unit or base.,,,,,1,Joshua Carson,7/2/2023,Maindeck,https://www.youtube.com/watch?v=tIVvKt--lPc,,,,,,,,
SOR,78,Vanquish,,FALSE,Event,Vigilance,5,Tactic,Defeat a non-leader unit.,,,,,1,Eslam Aboshady,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,82,Emperor's Royal Guard,,FALSE,Unit,"Command,Villainy",3,Imperial,"While you control an OFFICIAL unit, this unit gains Sentinel.

While you control Emperor Palpatine (as a leader or unit), this unit gets +0/+1.",,0,3,4,3,French Carlomagno,7/12/2023,FFG Stream,https://www.youtube.com/watch?v=6cWmjXCAFKg,24,0,1,0,0,Sentinel (Conditional),,
SOR,84,Grand Moff Tarkin,Death Star Overseer,TRUE,Unit,"Command,Villainy",4,"Imperial,Official","When Played: Search the top 5 cards of your deck for up to 2 IMPERIAL cards, reveal them, and draw them.",,0,2,3,0,Steve Morris,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,25,0,0,0,2,,,
SOR,128,Death Star Stormtrooper,,FALSE,Unit,"Aggression,Villainy",1,"Imperial,Trooper",,,0,3,1,1,Ario Murti,6/27/2023,Quickstart Rules,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,132,Imperial Interceptor,,FALSE,Unit,"Aggression,Villainy",4,"Imperial,Vehicle,Fighter",When Played: You may deal 3 damage to a space unit.,,1,3,2,1,Francois Cannels,6/27/2023,SAGA: Space Arena Ground Arena,https://www.youtube.com/watch?v=OLrH6RkqNp4,27,0,0,3,0,,,
SOR,136,Vader's Lightsaber,,TRUE,Upgrade,"Aggression,Villainy",2,"Item,Weapon,Lightsaber","Attach to a non-VEHICLE unit.

When Played: If attached unit is Darth Vader, you may deal 4 damage to a ground unit.",,,3,1,0,Arthur Mougne,6/27/2023,Quickstart Rules,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,172,Open Fire,,FALSE,Event,Aggression,3,Tactic,Deal 4 damage to a unit.,,,,,1,Fernando Correa,7/11/2023,Golden Dice,https://www.youtube.com/watch?v=IcqTW-7nAh8,,,,,,,,
SOR,189,Leia Organa,Defiant Princess,TRUE,Unit,"Cunning,Heroism",2,"Rebel,Official",When Played: Either ready a resource or exhaust a unit.,,0,2,2,0,Robynn Frauhn,5/16/2023,FFG,https://www.youtube.com/watch?v=0mscZBVRiX0,,,,,,,,
SOR,195,Auzituck Liberator Gunship,,FALSE,Unit,"Cunning,Heroism",4,"Vehicle,Fighter",Ambush,,1,3,4,1,Mark Zhang,7/13/2023,Jodo Cast,https://www.youtube.com/watch?v=TO7ae1EX5hg,31,0,0,0,0,Ambush,,
SOR,220,Surprise Strike,,FALSE,Event,Cunning,2,Tactic,Attack with a unit. It gets +3/+0 for this attack.,,,,,1,Ario Murti,7/5/2023,Unplayable,https://www.youtube.com/watch?v=LiF62cBi_pk,,,,,,,,
SOR,225,TIE/ln Fighter,,FALSE,Unit,Villainy,1,"Imperial,Vehicle,Fighter",,,1,2,1,1,French Carlomagno,6/27/2023,FFG Stream,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,228,Viper Probe Droid,,FALSE,Unit,Villainy,2,"Imperial,Droid",When Played: Look at an opponent's hand.,,0,3,2,1,Amad Mir,6/22/2023,Wossy Plays,https://www.youtube.com/watch?v=ZDKza3yNX9w,,,,,,,,
SOR,229,Cell Block Guard,,FALSE,Unit,Villainy,3,"Imperial,Trooper",Sentinel,,0,3,3,1,French Carlomagno,6/27/2023,Quickstart Rules,https://www.youtube.com/watch?v=SunSj70YP8o,35,0,0,0,0,Sentinel,,
SOR,233,I Am Your Father,,FALSE,Event,Villainy,3,Gambit,"Deal 7 damage to an enemy unit unless its controller says ""no."" If they do, draw 3 cards.",,,,,0,Stefano Landini,6/18/2023,FFG,https://twitter.com/UnlimitedFFG/status/1670446401581350920,,,,,,,,
SOR,234,Maximum Firepower,,FALSE,Event,Villainy,4,"Imperial,Tactic","A friendly IMPERIAL unit deals damage equal to its power to a unit.

Then, another friendly IMPERIAL unit deals damage equal to its power to the same unit.",,,,,1,Stephen Zavala,5/16/2023,FFG,https://www.youtube.com/watch?v=0mscZBVRiX0,,,,,,,,
SOR,237,Alliance X-Wing,,FALSE,Unit,Heroism,2,"Rebel,Vehicle,Fighter",,,1,2,3,1,Francois Cannels,6/27/2023,Quickstart Rules,https://www.youtube.com/watch?v=SunSj70YP8o,,,,,,,,
SOR,241,Wing Leader,,FALSE,Unit,Heroism,3,"Rebel,Vehicle,Fighter",When Played: Give 2 Experience tokens to another friendly REBEL unit.,,1,2,1,2,French Carlomagno,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,39,2,2,0,0,,,
SOR,246,You're My Only Hope,,FALSE,Event,Heroism,3,Gambit,"Look at the top card of your deck. You may play it. It costs {R:5} less. If your base has 5 or less remaining hp, you may play it for free instead.",,,,,3,Gretel Lusky,5/16/2023,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,,,,,,,,
SOR,239,Rebel Pathfinder,,FALSE,Unit,Heroism,2,"Rebel,Trooper",Saboteur,,0,2,3,1,Joshua Carson,7/19/2023,Wreck N' Rule,https://wrecknrule.com/2023/07/19/star-wars-unlimited-card-reveal-rebel-pathfinder/,43,0,0,0,0,Saboteur,,
SOR,83,Superlaser Technician,,FALSE,Unit,"Command,Villainy",3,Imperial,When Defeated: You may put this unit into play as a resource and ready it.,,0,2,1,1,Denis Medri,7/22/2023,Wampa Radio,https://www.youtube.com/watch?v=v2anF9BpUsA,,,,,,,,
SOR,227,Snowtrooper Lieutenant,,FALSE,Unit,Villainy,2,"Imperial,Trooper","When Played: You may attack with a unit. If it's an Imperial unit, it gets +2/+0 for this attack.",,0,2,2,1,Erik Ly,7/25/2023,Roll On Gaming,https://www.youtube.com/watch?v=SW65sZFFjC8,,,,,,,,
SOR,240,Fleet Lieutenant,,FALSE,Unit,Heroism,3,"Rebel,Trooper","When Played: You may attack with a unit. If it's a Rebel unit, it gets +2/+0 for this attack.",,0,3,3,1,Hoan Nguyen,7/26/2023,FFG,https://starwarsunlimited.com/articles/heroism-and-villainy,,,,,,,,
SOR,235,Galactic Ambition,,FALSE,Event,Villainy,7,Innate,Play a non-{Heroism} unit from your hand for free. Deal damage to your base equal to its cost.,,,,,3,Andre Mealha,7/26/2023,FFG,https://starwarsunlimited.com/articles/heroism-and-villainy,,,,,,,,
SOR,226,Admiral Motti,Brazen and Scornful,TRUE,Unit,Villainy,2,"Imperial,Official",When Defeated: You may ready a {Villainy} unit.,,0,1,1,0,Tomas Oleksak,7/26/2023,FFG Stream,https://www.youtube.com/watch?v=Msezhwc2WE4,,,,,,,,
SOR,236,R2-D2,Ignoring Protocol,TRUE,Unit,Heroism,1,"Rebel,Droid",When Played/On Attack: Look at the top card of your deck. You may put it on the bottom of your deck.,,0,1,4,0,Aitor Prieto,7/26/2023,FFG Stream,https://www.youtube.com/watch?v=Msezhwc2WE4,,,,,,,,
SOR,238,C-3PO,Protocol Droid,TRUE,Unit,Heroism,2,"Rebel,Droid","When Played/On Attack: Choose a number, then look at the top card of your deck. If its cost is the chosen number, you may reveal and draw it.",,0,1,4,0,Ash Pierce,7/26/2023,FFG Stream,https://www.youtube.com/watch?v=Msezhwc2WE4,,,,,,,,
SOR,139,Force Choke,,FALSE,Event,"Aggression,Villainy",2,Force,"If you control a Force unit, this event costs {R:1} less to play.

Deal 5 damage to a non-Vehicle unit. That unit's controller draws a card.",,,,,2,Stefano Landini,7/26/2023,FFG Stream,https://www.youtube.com/watch?v=Msezhwc2WE4,,,,,,,,
