set,cardnumber,name,title,unique,card type,aspects,cost,traits,ability text,leader unit ability text,arena,power,hp,rarity,artist,previewdate,preview source,preview link,cardid,invisiblepower,invisiblehp,invisibledamage,invisibledraw,keyword_1,keyword_1_conditional,keyword_2,keyword_2_conditional,keyword_3,keyword_3_conditional,Makes_Droids,Makes_Clones,Makes_Ties,Heals,Ramps,Makes_X_Wings,Indirect
JTL,1,Drengir Spawn,,FALSE,Unit,"Command,Villainy",4,Creature,{p}{overwhelm}{/p} {p}{b}When this unit attacks and defeats a unit:{/b} Give a number of Experience tokens to this unit equal to the defeated unit's cost{/p},,0,3,3,3,,,,,,.5,.5,,,Overwhelm,FALSE,NA,NA,NA,NA,,,,,,,
JTL,2,Aurra Sing,Patient and Deadly,TRUE,Unit,"Cunning,Villainy",2,"Underword,Bounty Hunter",{p}{raid:2} {/p},,0,1,4,2,,,,,,,,,,Raid,FALSE,NA,NA,NA,NA,,,,,,,
SOR,1,Director Krennic,Aspiring to Authority,TRUE,Leader,"Vigilance,Villainy",5,"Imperial,Official","{p}Each friendly damaged unit gets {powerplus:1}/{hp:0}.{/p}{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}{restore:2} {em}(When this unit attacks, heal 2 damage from your base.){/em}{/p}{p}Each friendly damaged unit gets {power:1}/{power:0}.{/p}",0,2,7,1,Ario Murti,2023-07-07,FFG,https://twitter.com/UnlimitedFFG/status/1677331851038322690,6,0,0,0,0,Restore,FALSE,NULL,NULL,NULL,NULL,,,,,,,
SOR,2,Iden Versio,Inferno Squad Commander,TRUE,Leader,"Vigilance,Villainy",6,"Imperial,Trooper","{p}{b}Action [{T}]:{/b} If an enemy unit was defeated this phase, heal 1 damage from your base.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader.{/p}","{p}{shielded} {i}(When you deploy this leader, give her a Shield token.){/i}{/p}

{p}{b}When an enemy unit is defeated:{/b} Heal 1 damage from your base.{/p}",0,4,4,3,Axel Hutt,2023-12-08,FFG,https://twitter.com/UnlimitedFFG/status/1733154603754029486,174,0,0,0,0,Shielded,FALSE,NULL,NULL,NULL,NULL,,,,,,,
SOR,3,Chewbacca,Walking Carpet,TRUE,Leader,"Vigilance,Heroism",7,"Underworld,Wookiee","{p}{b}Action [{T}]:{/b} Play a unit that costs 3 or less from your hand (paying its cost). It gains {sentinel} for this phase.{/p}

{p-epic-action}If you control 7 or more resources, deploy this leader.{/p}","{p-keyword-border-shaded}{sentinel} {i}(Units in this arena can't attack your non-Sentinel units or your base.){/i}{/p}

{p}{keyword}Grit{/keyword} {i}(This unit gets +1/+0 for each damage on it.){/i}{/p}",0,2,9,1,Eslam Aboshady,2023-08-03,FFG Stream,https://www.youtube.com/watch?v=HgjQ-bMGkj4,59,0,0,0,0,Grit,FALSE,Sentinel,FALSE,NULL,NULL,,,,,,,
SOR,4,Chirrut Îmwe,One With The Force,TRUE,Leader,"Vigilance,Heroism",5,"Force,Rebel","{p}{strong}Action [{T}]:{/strong} Give a unit {powerplus:0}/{hpplus:2} for this phase.{/p}

{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}","{p}During the action phase, this unit isn't defeated by having no remaining HP. {i}(During the regroup phase, if he has no remaining HP, defeat him.){/i}{/p}",0,3,5,3,Sandra Chlewińska,2024-01-19,FFG,https://www.instagram.com/p/C2SatU2MY12/,234,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
SOR,5,Luke Skywalker,Faithful Friend,TRUE,Leader,"Vigilance,Heroism",6,"Force,Rebel","{p}{strong}Action [{R1}, {T}]:{/strong} Give a Shield token to a {Heroism} unit you played this phase.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader. {em}(Flip him, ready him, and move him to the ground arena.){/em}{/p}",{strong}On Attack:{/strong} You may give another unit a Shield token.,0,4,7,5,Borja Pindado,2023-05-16,FFG,https://starwarsunlimited.com/articles/star-wars-unlimited-first-look,10,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
SOR,6,Emperor Palpatine,Galactic Ruler,TRUE,Leader,"Command,Villainy",8,"Force,Imperial,Sith,Official","{p}{strong}Action [{R1}, {T}, defeat a friendly unit]:{/strong} Deal 1 damage to a unit and draw a card.{/p}

{p-epic-action}If you control 8 or more resources, deploy this leader.{/p}","{p}{b}When Deployed:{/b} Take control of a damaged non-leader unit.{/p}

{p}{b}On Attack:{/b} You may defeat another friendly unit. If you do, deal 1 damage to a unit and draw a card.{/p}",0,4,10,3,Borja Pindado,2024-02-02,FFG,https://www.instagram.com/p/C22d1aVM6zd/,247,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
SOR,7,Grand Moff Tarkin,Oversector Governor,TRUE,Leader,"Command,Villainy",5,"Imperial,Official","{p}{b}Action [{R1}, {T}]:{/b} Give an Experience token to an {imperial} unit.{/p}

{p-epic-action}If you control 5 or more resources, deploy this leader.{/p}",{p}{b}On Attack:{/b} You may give an Experience token to another {imperial} unit.,0,2,7,1,Tomas Oleksak,2023-09-01,FFG,https://www.instagram.com/reel/Cwp0j43szL2/,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
SOR,8,Hera Syndulla,Spectre Two,TRUE,Leader,"Command,Heroism",6,"Rebel,Twi'lek,Spectre","{p}Ignore the aspect penalty on {spectre} cards you play.{/p}

{p-epic-action}If you control 6 or more resources, deploy this leader.{/p}","{p}Ignore the aspect penalty on {spectre} cards you play.{/p}

{p}{b}On Attack:{/b} You may give an Experience token to another unique unit.{/p}",0,4,6,3,Sandra Chlewińska,2023-10-27,FFG,https://www.instagram.com/p/Cy6BEEzM009/,135,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,
SOR,9,Leia Organa,Alliance General,TRUE,Leader,"Command,Heroism",5,"Rebel,Official","{p}{strong}Action [{T}]:{/strong} Attack with a {rebel} unit. Then, you may attack with another {rebel} unit.{/p}{p-epic-action}If you control 5 or more resources, deploy this leader.",{p}{raid:1} {em}(This unit gets +1/+0 while attacking.){/em}{/p}{p}{strong}When this unit completes an attack:{/strong} You may attack with another {rebel} unit.{/p},0,3,6,1,Sandra Chlewińska,2023-06-09,FFG,https://twitter.com/UnlimitedFFG/status/1667184970727583744,11,0,0,0,0,Raid,FALSE,NULL,NULL,NULL,NULL,,,,,,,
